TF	n_targets	dominant_sign	source
ZHX3	2	mixed	collectri
CREB3L2	2	activator	collectri
CREB3L4	2	activator	collectri
ARNT2	2	activator	collectri
CREBL2	2	activator	collectri
CREBRF	2	mixed	collectri
TRRAP	2	mixed	collectri
CUX2	2	mixed	collectri
TSHZ1	2	mixed	collectri
DDX5	2	activator	collectri
DLX6	2	activator	collectri
ZBTB12	2	activator	collectri
ZFP90	2	activator	collectri
TRIB3	2	mixed	collectri
SP8	2	activator	collectri
TCF23	2	repressor	collectri
OVOL2	2	mixed	collectri
LMO3	2	repressor	collectri
HOXC10	2	mixed	collectri
HOXA3	2	activator	collectri
ZNF571	2	activator	collectri
HMX3	2	activator	collectri
MAML2	2	activator	collectri
ZNF503	2	repressor	collectri
MED23	2	activator	collectri
SIRT6	2	repressor	collectri
HES4	2	activator	collectri
ZNF398	2	activator	collectri
PARP10	2	repressor	collectri
AKNA	2	activator	collectri
ALX3	2	activator	collectri
GSX2	2	activator	collectri
GRHL1	2	repressor	collectri
SMARCD3	2	activator	collectri
GMEB1	2	activator	collectri
SND1	2	activator	collectri
PBX3	2	mixed	collectri
RBPJL	2	activator	collectri
RBCK1	2	activator	collectri
KDM3B	2	activator	collectri
PHF8	2	activator	collectri
PIAS4	2	mixed	collectri
ZXDA	2	activator	collectri
PHF1	2	repressor	collectri
LCOR	2	mixed	collectri
PHB1	2	mixed	collectri
KMT2C	2	activator	collectri
KLF16	2	repressor	collectri
POU6F1	2	activator	collectri
RBAK	2	activator	collectri
LIN28A	2	activator	collectri
ZSCAN10	2	activator	collectri
ISL2	2	mixed	collectri
ZNF8	2	repressor	collectri
IRX2	2	repressor	collectri
PRRX2	2	activator	collectri
ZNF77	2	activator	collectri
HOXD9	2	activator	collectri
SOHLH2	2	activator	collectri
NKX2-8	2	activator	collectri
SPZ1	2	activator	collectri
FIZ1	2	activator	collectri
SPEN	2	activator	collectri
ZNF287	2	activator	collectri
FOXI3	2	activator	collectri
ZNF322	2	activator	collectri
SRCAP	2	activator	collectri
FOXD4	2	activator	collectri
NKX2-3	2	activator	collectri
ZNF277	2	activator	collectri
ST18	2	activator	collectri
SP5	2	mixed	collectri
EVX2	2	activator	collectri
ZNF256	2	activator	collectri
TAF4	2	mixed	collectri
ZNF239	2	mixed	collectri
EMX1	2	activator	collectri
EBF2	2	activator	collectri
TBX19	2	activator	collectri
ZNF205	2	repressor	collectri
FOXJ3	2	activator	collectri
ZBTB7C	2	mixed	collectri
FOXK2	2	activator	collectri
SOX15	2	activator	collectri
SOX21	2	activator	collectri
OTP	2	activator	collectri
GCM2	2	activator	collectri
ZNF304	2	repressor	collectri
FOXL1	2	activator	collectri
APBB1	2	repressor	collectri
ZNF296	2	activator	collectri
ZMYND11	1	activator	collectri
ADNP2	1	activator	collectri
ALX4	1	repressor	collectri
ZSCAN18	1	activator	collectri
ZSCAN21	1	activator	collectri
ADNP	1	activator	collectri
ANKRD1	1	repressor	collectri
ZFHX4	1	activator	collectri
ZNF266	1	activator	collectri
ZSCAN26	1	repressor	collectri
ZNF175	1	activator	collectri
NME2	1	activator	collectri
ZSCAN9	1	activator	collectri
ZNF134	1	activator	collectri
ZNF140	1	repressor	collectri
ZNF184	1	activator	collectri
ZNF2	1	activator	collectri
ZNF189	1	activator	collectri
ZC3H8	1	repressor	collectri
ZBTB8B	1	repressor	collectri
ZNF85	1	activator	collectri
ZNF268	1	activator	collectri
ZFP1	1	activator	collectri
ZNF267	1	repressor	collectri
ZNF492	1	activator	collectri
ZNF292	1	activator	collectri
ZNF513	1	activator	collectri
ZNF569	1	activator	collectri
ZBTB8A	1	repressor	collectri
ZNF431	1	mixed	collectri
ZNF419	1	activator	collectri
ZNF652	1	mixed	collectri
ZNF653	1	activator	collectri
ZNF667	1	mixed	collectri
ZNF671	1	mixed	collectri
ZNF417	1	activator	collectri
ZNF692	1	repressor	collectri
ZNF195	1	activator	collectri
AEBP2	1	repressor	collectri
ZNF711	1	mixed	collectri
ZNF383	1	repressor	collectri
ZNF750	1	repressor	collectri
NPAS3	1	activator	collectri
ZNF444	1	activator	collectri
ZNF79	1	activator	collectri
ZNF14	1	activator	collectri
LHX6	1	mixed	collectri
BARHL2	1	activator	collectri
GTF2B	1	activator	collectri
MED15	1	activator	collectri
HIRA	1	repressor	collectri
HES7	1	repressor	collectri
SIX2	1	activator	collectri
PASD1	1	repressor	collectri
SIX5	1	activator	collectri
HES3	1	repressor	collectri
SLC2A4RG	1	activator	collectri
PARP9	1	repressor	collectri
PARP14	1	repressor	collectri
GZF1	1	repressor	collectri
GTF2F1	1	activator	collectri
GTF2A1	1	activator	collectri
HMG20B	1	activator	collectri
MED26	1	activator	collectri
GSC2	1	activator	collectri
SMARCC2	1	activator	collectri
GLIS1	1	activator	collectri
SOX14	1	activator	collectri
GATAD2B	1	activator	collectri
OSR2	1	activator	collectri
SP140	1	activator	collectri
FOXN3	1	repressor	collectri
ONECUT3	1	activator	collectri
FOXJ2	1	activator	collectri
OLIG3	1	activator	collectri
MED12	1	activator	collectri
SCRT1	1	activator	collectri
NUCKS1	1	activator	collectri
PCBD1	1	mixed	collectri
PIR	1	activator	collectri
PLSCR1	1	activator	collectri
LIMD1	1	repressor	collectri
KAT2A	1	repressor	collectri
JAZF1	1	repressor	collectri
ISX	1	mixed	collectri
PPP1R13L	1	repressor	collectri
PRDM14	1	activator	collectri
PRDM8	1	repressor	collectri
PRMT5	1	mixed	collectri
LMO1	1	activator	collectri
IKZF5	1	activator	collectri
RBBP8	1	mixed	collectri
SAP30	1	activator	collectri
RBFOX2	1	repressor	collectri
HOXD12	1	activator	collectri
HOXC5	1	activator	collectri
RFX6	1	activator	collectri
RHOXF1	1	activator	collectri
RNF14	1	activator	collectri
LYAR	1	repressor	collectri
RUNX1T1	1	mixed	collectri
RUVBL1	1	repressor	collectri
RYBP	1	mixed	collectri
MBD3	1	repressor	collectri
HMX2	1	activator	collectri
FLYWCH1	1	repressor	collectri
MESP1	1	activator	collectri
NDN	1	mixed	collectri
CCND1	1	activator	collectri
TRIM14	1	activator	collectri
TRIM15	1	activator	collectri
TRIM21	1	activator	collectri
TRIM24	1	repressor	collectri
TRIM25	1	activator	collectri
TRIM27	1	activator	collectri
TRIM31	1	activator	collectri
TRIM5	1	activator	collectri
TRIM62	1	activator	collectri
TRIM8	1	activator	collectri
NAB1	1	mixed	collectri
CDC5L	1	activator	collectri
CCDC62	1	activator	collectri
TP53BP1	1	activator	collectri
CC2D1B	1	repressor	collectri
URI1	1	repressor	collectri
CC2D1A	1	repressor	collectri
VAX1	1	repressor	collectri
NACC2	1	repressor	collectri
YBX2	1	mixed	collectri
BBX	1	activator	collectri
ZBTB22	1	activator	collectri
BATF2	1	activator	collectri
ZBTB44	1	activator	collectri
ZBTB48	1	activator	collectri
ZBTB5	1	repressor	collectri
CGGBP1	1	repressor	collectri
MYBBP1A	1	activator	collectri
FERD3L	1	activator	collectri
DTX1	1	activator	collectri
FAM170A	1	activator	collectri
SUPT3H	1	activator	collectri
NSD1	1	activator	collectri
TAF12	1	activator	collectri
TAF5	1	activator	collectri
ESX1	1	repressor	collectri
TBL1X	1	mixed	collectri
TBL1XR1	1	activator	collectri
MID2	1	activator	collectri
EID2B	1	repressor	collectri
EID1	1	mixed	collectri
MIER1	1	activator	collectri
DRGX	1	activator	collectri
TOB1	1	repressor	collectri
DRAP1	1	activator	collectri
DNAJC2	1	activator	collectri
DNAJC1	1	activator	collectri
LHX5	1	activator	collectri
MSGN1	1	activator	collectri
TET2	1	activator	collectri
CREG1	1	repressor	collectri
THAP12	1	activator	collectri
TLE1	1	activator	collectri
TLE3	1	repressor	collectri
TLE4	1	mixed	collectri
CNOT4	1	activator	collectri
DMRTA2	1	activator	collectri
